Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1112054,REDACTED PERSONAL DATA,4723549,490836,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112103,REDACTED PERSONAL DATA,4723550,490709,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112189,REDACTED PERSONAL DATA,4723551,490899,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112214,REDACTED PERSONAL DATA,4723552,490552,01/07/2022,916.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112244,REDACTED PERSONAL DATA,4723553,490686,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112316,REDACTED PERSONAL DATA,4723554,490742,01/07/2022,1359.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112431,REDACTED PERSONAL DATA,4723555,490493,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112669,REDACTED PERSONAL DATA,4723556,490768,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112793,REDACTED PERSONAL DATA,4723557,490789,01/07/2022,916.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1112861,REDACTED PERSONAL DATA,4723558,490771,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113186,REDACTED PERSONAL DATA,4723559,490616,01/07/2022,916.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113186,REDACTED PERSONAL DATA,4723560,490770,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113233,REDACTED PERSONAL DATA,4723561,490708,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113411,REDACTED PERSONAL DATA,4723562,490769,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113426,REDACTED PERSONAL DATA,4723563,490822,01/07/2022,916.71,0,JEA,Senior Management,4811,Residence Orders,Children'S Services
Blackpool Council,1113444,REDACTED PERSONAL DATA,4723564,490613,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113444,REDACTED PERSONAL DATA,4723565,490839,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113462,REDACTED PERSONAL DATA,4723566,490500,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113470,REDACTED PERSONAL DATA,4723567,490712,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113470,REDACTED PERSONAL DATA,4723568,490612,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113470,REDACTED PERSONAL DATA,4723569,490439,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1113478,REDACTED PERSONAL DATA,4723570,490569,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
