Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1109958,Arc Community Care Ltd,4768395,511193,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768396,511256,21/09/2022,1038.66,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768397,511251,21/09/2022,1038.66,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768398,511229I,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768400,511222,21/09/2022,1143.66,0,MFCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768401,511221,21/09/2022,1038.66,0,MFBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768402,511220I,21/09/2022,1143.66,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768404,511558,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768405,511499,21/09/2022,1143.66,0,MSDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768406,511449,21/09/2022,1038.66,0,MVCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768407,511432,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768409,511736,21/09/2022,296.76,0,MSAAD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768410,511694I,21/09/2022,1143.66,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768412,511692,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768413,511665I,21/09/2022,4574.64,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768416,511577,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768417,511738I,21/09/2022,1143.66,0,MSDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768419,511206,21/09/2022,1038.66,0,MSBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768420,511737I,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768423,511384,21/09/2022,1038.66,0,MVA,18-64,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768424,510968,21/09/2022,1038.66,0,MFBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768425,511013,21/09/2022,1143.66,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768426,511260,21/09/2022,1038.66,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768427,510964,21/09/2022,1038.66,0,MVA,18-64,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768428,511646,21/09/2022,1143.66,0,MSBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110806,Terebinth Limited,4768429,511866,21/09/2022,1143.66,0,MVA,18-64,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768431,511814I,21/09/2022,1980,0,MFCBD,Residential Placements,7582,Indep Sect Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768431,511814I,21/09/2022,326.76,0,MFCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768433,511427I,21/09/2022,1411.94,0,MSABD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768435,511473I,21/09/2022,1411.94,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768436,511216I,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768437,511237,21/09/2022,1038.66,0,MXCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768438,511325,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768440,511342I,21/09/2022,1143.66,0,MSDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768442,511353,21/09/2022,1143.66,0,MRDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1110823,Pnp Care Homes Ltd,4768443,511163,21/09/2022,1143.66,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1111067,Curo Blackpool Ltd T/A The Royal Care Home,4768445,511505,21/09/2022,1217.88,0,MFBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1111770,L&M Healthcare (Deepdale) Ltd - Finney House,4768446,511510,21/09/2022,1228.86,0,MFABC,Nursing Placements,4506,Nursing Homes,Adult & Families
Blackpool Council,1112327,Peter Walsh T/A Ridgewood House,4768447,511032,21/09/2022,1271.9,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768449,511351I,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768451,511281,21/09/2022,1038.66,0,MVCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768452,511531,21/09/2022,1143.66,0,MVCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768453,511224,21/09/2022,1143.66,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768454,511244,21/09/2022,1143.66,0,MVCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768455,511456,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768456,511366I,21/09/2022,1143.66,0,MRDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768457,511668,21/09/2022,3676.05,0,MVA,18-64,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768458,511649,21/09/2022,1038.66,0,MSBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768459,511630,21/09/2022,1143.66,0,MSDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768460,511863,21/09/2022,490.14,0,MSCAD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768461,511209I,21/09/2022,1143.66,0,MFCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768463,511125,21/09/2022,1038.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112667,Diamond Care Home Langdales Ltd,4768464,511034I,21/09/2022,1038.66,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1112737,Maricare Ltd -  Beech Haven Care Home,4768466,510966,21/09/2022,1114.16,0,MSDBC,Nursing Placements,4506,Nursing Homes,Adult & Families
Blackpool Council,1113590,Anchor - Halcyon Court Care Home,4768469,511739,21/09/2022,1264,0,MDCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1113755,Sanctuary Care Ltd - Guy'S Court Nursing Home,4768470,511614I,21/09/2022,1490.6,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1113755,Sanctuary Care Ltd - Guy'S Court Nursing Home,4768471,511711,21/09/2022,1217.88,0,MFBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1113876,Glenthorne No2 Care Home Ltd,4768473,511327,21/09/2022,1217.88,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1113876,Glenthorne No2 Care Home Ltd,4768474,511309,21/09/2022,1217.88,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1113876,Glenthorne No2 Care Home Ltd,4768475,511660,21/09/2022,1217.88,0,MVCAD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1113876,Glenthorne No2 Care Home Ltd,4768476,511848,21/09/2022,5229.72,0,MVCBD,Residential Placements,7582,Indep Sect Residential Homes,Adult & Families
Blackpool Council,1113876,Glenthorne No2 Care Home Ltd,4768476,511848,21/09/2022,5650.53,0,MVCAD,Residential Placements,71H3,Ola-Stc With Carers-Resident,Adult & Families
Blackpool Council,1113876,Glenthorne No2 Care Home Ltd,4768476,511848,21/09/2022,1217.88,0,MVCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1114048,Orchard Care Homes - Penwortham Grange Lodge,4768477,511199,21/09/2022,1487.88,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1114117,Towneley House,4768478,510976,21/09/2022,1217.88,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1114523,Netherclay House,4768479,510978,21/09/2022,1097.58,0,MSABD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1114578,Hollybank Care Home,4768480,511282,21/09/2022,1125.8,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1115080,New Care Project Lytham (Opco) Ltd,4768481,511579I,21/09/2022,1898.68,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1115080,New Care Project Lytham (Opco) Ltd,4768483,511657,21/09/2022,3980,0,MVDAD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1115080,New Care Project Lytham (Opco) Ltd,4768484,511779I,21/09/2022,1897.52,0,MGBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1115080,New Care Project Lytham (Opco) Ltd,4768485,511597I,21/09/2022,1989.98,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768489,511534I,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768490,511565,21/09/2022,1143.66,0,MFDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768491,511217,21/09/2022,1143.66,0,MSBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768492,511311,21/09/2022,1143.66,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768493,511055,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768494,511067,21/09/2022,1143.66,0,MXBBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1116504,G Rose Care Ltd - Lavender Lodge,4768495,511078,21/09/2022,5180.46,0,MDDBD,Residential Placements,4505,Residential Homes,Adult & Families
